ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu Vang Pháp Pierre Girardin Morey-Saint-Denis Premier Cru Les Monts Luisants 2021,8.492.000 ₫,Pinot Noir,Pierre Girardin,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-girardin-morey-saint-denis-premier-cru-les-monts-luisants/
Rượu Vang Pháp Vincent Girardin Beaune Vieilles Vignes 2023,2.662.000 ₫,Pinot Noir,Vincent Girardin,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/vincent-girardin-beaune-vieilles-vignes-2023/
Rượu Vang Pháp Vincent Girardin Bourgogne Cuvée Saint-Vincent Pinot Noir 2023,1.496.000 ₫,Pinot Noir,Vincent Girardin,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/vincent-girardin-bourgogne-cuvee-saint-vincent-pinot-noir-2023/
Rượu Vang Pháp Vincent Girardin Volnay Vieilles Vignes 2023,3.993.000 ₫,Pinot Noir,Vincent Girardin,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/vincent-girardin-volnay-vieilles-vignes-2023/
Rượu Vang Pháp Pierre Girardin Pommard Premier Cru Les Grands Épenots 2021,8.492.000 ₫,Pinot Noir,Pierre Girardin,Vang Pháp,1% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-girardin-pommard-premier-cru-les-grands-epenots/
Rượu Vang Pháp Pierre Girardin Meursault Les Tillets 2023,7.986.000 ₫,Pinot Noir,Pierre Girardin,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-girardin-meursault-les-tillets-2023/
Rượu Vang Pháp Pierre Girardin Volnay 2017,4.791.600 ₫,Pinot Noir,Pierre Girardin,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-girardin-volnay-2017/
Rượu Vang Pháp Pierre Girardin Volnay Éclat De Calcaire 2019,4.791.600 ₫,Pinot Noir,Pierre Girardin,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-girardin-volnay-eclat-de-calcaire-2019/
Rượu Vang Pháp Pierre Girardin Vosne-Romanée 2021,7.320.500 ₫,Pinot Noir,Pierre Girardin,Vang Pháp,1% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-girardin-vosne-romanee/
Rượu Vang Pháp Pierre Girardin Vosne-Romanée Premier Cru Les Suchots 2021,18.304.000 ₫,Pinot Noir,Pierre Girardin,Vang Pháp,,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-girardin-vosne-romanee-premier-cru-les-suchots/
Rượu vang Tây Ban Nha Cune Organic Rioja,726.000 ₫,Blend,CVNE,Vang Tây Ban Nha,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/cune-organic-rioja/
Rượu vang Tây Ban Nha Finca Vallejo Roble,759.000 ₫,Tempranillo,CVNE,Vang Tây Ban Nha,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/finca-vallejo-roble/
Rượu vang Tây Ban Nha Imperial Gran Reserva 2017,3.751.000 ₫,Blend,CVNE,Vang Tây Ban Nha,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/nha-imperial-gran-reserva-2017/
Rượu vang Tây Ban Nha Imperial Gran Reserva 2018,3.751.000 ₫,Blend,CVNE,Vang Tây Ban Nha,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/imperial-gran-reserva-2018/
Rượu vang Tây Ban Nha Imperial Reserva 2018,1.936.000 ₫,Blend,CVNE,Vang Tây Ban Nha,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/imperial-reserva-2018/
Rượu vang Tây Ban Nha Imperial Reserva 2019,1.936.000 ₫,Blend,CVNE,Vang Tây Ban Nha,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/imperial-reserva-2019/
Rượu vang Tây Ban Nha Montecillo Crianza,599.500 ₫,Blend,Bodegas Montecillo,Vang Tây Ban Nha,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/montecillo-crianza/
Rượu Vang Tây Ban Nha Romanico 2020,798.600 ₫,Tempranillo,Teso La Monja,Vang Tây Ban Nha,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/romanico-2020/
Rượu Vang Tây Ban Nha Victorino 2018,2.182.400 ₫,Tempranillo,Teso La Monja,Vang Tây Ban Nha,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/victorino-2018/
Rượu Vang Úc Grant Burge Classic Collection Shiraz,399.300 ₫,Syrah,Grant Burge Wines,Vang Úc,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-uc/grant-burge-classic-collection-shiraz/
Rượu Vang Ý Biserno 2020,5.989.500 ₫,Blend,Tenuta di Biserno,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/biserno-2020/
Rượu Vang Ý Biserno 2020 3L,27.951.000 ₫,Blend,Tenuta di Biserno,Vang Ý (Italy),14.5% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/biserno-2020-3l/
Rượu vang Ý Bruno Giacosa Barbaresco Asili Riserva 2000,42.229.000 ₫,Nebbiolo,Bruno Giacosa,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/bruno-giacosa-barbaresco-asili-riserva-2000/
Rượu vang Ý Bruno Giacosa Barolo Falletto di Serralunga d’Alba Riserva 1996,46.343.000 ₫,Nebbiolo,Bruno Giacosa,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/bruno-giacosa-barolo-falletto-di-serralunga-dalba-riserva-1996/
Rượu vang Ý Bruno Giacosa Barolo Falletto Vigna Le Rocche 2017,29.766.000 ₫,Nebbiolo,Bruno Giacosa,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/bruno-giacosa-barolo-falletto-vigna-le-rocche-2017/
Rượu vang Ý Bruno Giacosa Barolo Le Rocche del Falletto di Serralunga d’Alba Riserva 2000,44.770.000 ₫,Nebbiolo,Bruno Giacosa,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/bruno-giacosa-barolo-le-rocche-del-falletto-di-serralunga-dalba-riserva-2000/
Rượu vang Ý Bruno Giacosa Barolo Le Rocche del Falletto di Serralunga d’Alba Riserva 2001,44.770.000 ₫,Nebbiolo,Bruno Giacosa,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/bruno-giacosa-barolo-le-rocche-del-falletto-di-serralunga-dalba-riserva-2001/
Rượu Vang Ý ColleMassari Montecucco Rosso Riserva,946.000 ₫,Blend,Castello ColleMassari,Vang Ý (Italy),15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/collemassari-montecucco-rosso-riserva/
Rượu Vang Ý ColleMassari Poggio Lombrone Montecucco Sangiovese Riserva 2017,2.178.000 ₫,Sangiovese,Castello ColleMassari,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/collemassari-poggio-lombrone-montecucco-sangiovese-riserva/
Rượu Vang Ý ColleMassari Rigoleto Montecucco Rosso,798.600 ₫,Blend,Castello ColleMassari,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/collemassari-rigoleto-montecucco-rosso/
Rượu vang Ý Comm. G.B. Burlotto Aves Barbera D’alba 2022,1.672.000 ₫,Barbera,Comm. G.B. Burlotto,Vang Ý (Italy),15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-aves-barbera-dalba-2022/
Rượu vang Ý Comm. G.B. Burlotto Barbera D’alba 2022,1.331.000 ₫,Barbera,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barbera-dalba-2022/
Rượu vang Ý Comm. G.B. Burlotto Barbera D’alba 2023,1.331.000 ₫,Barbera,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barbera-dalba-2023/
Rượu vang Ý Comm. G.B. Burlotto Barbera D’alba 2024,1.596.000 ₫,Barbera,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barbera-dalba-2024/
Rượu vang Ý Comm. G.B. Burlotto Barolo 2021,2.827.000 ₫,Nebbiolo,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barolo-2021/
Rượu vang Ý Comm. G.B. Burlotto Barolo 2022,3.113.000 ₫,Nebbiolo,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barolo-2022/
Rượu vang Ý Comm. G.B. Burlotto Barolo Castelletto 2021,5.720.000 ₫,Nebbiolo,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barolo-castelletto-2021/
Rượu vang Ý Comm. G.B. Burlotto Barolo Monvigliero 2020,6.490.000 ₫,Nebbiolo,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barolo-monvigliero/
Rượu vang Ý Comm. G.B. Burlotto Barolo Monvigliero 2021,6.490.000 ₫,Nebbiolo,Comm. G.B. Burlotto,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/comm-g-b-burlotto-barolo-monvigliero-2021/
Rượu Vang Ý Dal Forno Romano Amarone della Valpolicella 2008,16.335.000 ₫,Blend,Dal Forno Romano,Vang Ý (Italy),16.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/amarone-della-valpolicella-dal-forno-romano-2008/
Rượu Vang Ý Dal Forno Romano Amarone della Valpolicella 2009,16.335.000 ₫,Blend,Dal Forno Romano,Vang Ý (Italy),16.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/amarone-della-valpolicella-dal-forno-romano-2009/
Rượu Vang Ý Dal Forno Romano Amarone della Valpolicella 2017,14.157.000 ₫,Blend,Dal Forno Romano,Vang Ý (Italy),16% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/amarone-della-valpolicella-dal-forno-romano-2017/
Rượu vang Ý Fontanafredda Barolo Serralunga d’Alba 2019,2.640.000 ₫,Nebbiolo,Fontanafredda Barolo,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/fontanafredda-barolo-serralunga-dalba-2019/
Rượu Vang Ý La Carminaia Vino Rosso d’Italia,605.000 ₫,Blend,Caviro,Vang Ý (Italy),13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/la-carminaia-vino-rosso-ditalia/
Rượu Vang Ý Rubinelli Vajol Amarone Della Valpolicella Classico 2015,2.827.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),16% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-amarone-della-valpolicella-classico-2015/
Rượu Vang Ý Rubinelli Vajol Amarone Della Valpolicella Classico 2016,2.827.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),16% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-amarone-della-valpolicella-classico-2016/
Rượu Vang Ý Rubinelli Vajol Amarone Della Valpolicella Classico 2017,2.827.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),16% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-amarone-della-valpolicella-classico-2017/
Rượu Vang Ý Rubinelli Vajol Valpolicella Classico,1.001.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),12.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-valpolicella-classico-2022/
Rượu Vang Ý Rubinelli Vajol Valpolicella Classico Superiore,1.276.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-valpolicella-classico-superiore/
Rượu Vang Ý Rubinelli Vajol Valpolicella Ripasso Classico Superiore 2014 3L,6.325.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),14.5% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-valpolicella-ripasso-classico-superiore-2014/
Rượu Vang Ý Rubinelli Vajol Valpolicella Ripasso Classico Superiore,1.441.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-valpolicella-ripasso-classico-superiore-2018/
Rượu Vang Ý Rubinelli Vajol Valpolicella Ripasso Classico Superiore 2018 6L,14.278.000 ₫,Blend,Rubinelli Vajol,Vang Ý (Italy),14.5% ABV*,6L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/rubinelli-vajol-valpolicella-ripasso-classico-superiore-2018-6l/
Rượu Vang Ý San Giorgio Ugolforte Brunello Di Montalcino 2018,3.036.000 ₫,Sangiovese,Tenuta San Giorgio,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/san-giorgio-ugolforte-brunello-di-montalcino-2018/
Rượu Vang Ý San Giorgio Ugolforte Brunello Di Montalcino Riserva 2018,5.989.500 ₫,Sangiovese,Tenuta San Giorgio,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/san-giorgio-ugolforte-brunello-di-montalcino-riserva-2018/
Rượu Vang Ý Tavernello Organico Sangiovese Rubicone,290.400 ₫,Sangiovese,Tavernello,Vang Ý (Italy),12.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/tavernello-organico-sangiovese-rubicone/
Rượu Vang Ý Tavernello Organico Rosso Terre Siciliane,290.400 ₫,Blend,Tavernello,Vang Ý (Italy),12.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/tavernello-organico-rosso-terre-siciliane/
Rượu Vang Ý Tavernello Organico Syrah Terre Siciliane,290.400 ₫,Syrah,Tavernello,Vang Ý (Italy),13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/tavernello-organico-syrah-terre-siciliane/
Rượu vang Ý Terre Nere Etna Rosso,1.182.500 ₫,Blend,Terre Nere,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso/
Rượu vang Ý Terre Nere Etna Rosso Calderara Sottana 2022,2.640.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-calderara-sottana-2022/
Rượu vang Ý Terre Nere Etna Rosso Calderara Sottana 2023,2.640.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-calderara-sottana-2023/
Rượu vang Ý Terre Nere Etna Rosso Calderara Sottana Prephylloxera “La Vigna di Don Peppino” 2022,6.050.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/ruou-vang-y-terre-nere-etna-rosso-calderara-sottana-prephylloxera-la-vigna-di-don-peppino-2022/
Rượu vang Ý Terre Nere Etna Rosso Dagala di Bocca D’Orzo 2022,5.291.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-dagala-di-bocca-dorzo-2022/
Rượu vang Ý Terre Nere Etna Rosso Feudo Di Mezzo 2022,2.035.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-feudo-di-mezzo-2022/
Rượu vang Ý Terre Nere Etna Rosso Moganazzi 2022,2.035.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-moganazzi-2022/
Rượu vang Ý Terre Nere Etna Rosso San Lorenzo 2022,2.640.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-san-lorenzo-2022/
Rượu vang Ý Terre Nere Etna Rosso San Lorenzo 2023,2.640.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-san-lorenzo-2023/
Rượu vang Ý Terre Nere Etna Rosso Santo Spirito 2022,2.035.000 ₫,Nerello Mascalese,Terre Nere,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/terre-nere-etna-rosso-santo-spirito-2022/
Rượu vang Ý Tini Vino Rosso D’italia,544.500 ₫,Sangiovese,Tini,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/tini-vino-rosso-ditalia/
Rượu Vang Ý Vietti Barbera d’Asti Trevigne,1.309.000 ₫,Barbera,Vietti,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barbera-dasti-trevigne/
Rượu Vang Ý Vietti Barolo Brunate 2012,12.342.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-brunate-2012/
Rượu Vang Ý Vietti Barolo Castiglione 2013,4.356.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-castiglione-2013/
Rượu Vang Ý Vietti Barolo Castiglione 2015,4.065.600 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-castiglione-2015/
Rượu Vang Ý Vietti Barolo Castiglione 2017,3.773.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-castiglione-2017/
Rượu Vang Ý Vietti Barolo Castiglione 2019,3.773.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-castiglione-2019/
Rượu Vang Ý Vietti Barolo Castiglione 2021,3.773.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-castiglione-2021/
Rượu Vang Ý Vietti Barolo Lazzarito 2012,13.068.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-lazzarito-2012/
Rượu Vang Ý Vietti Barolo Lazzarito 2015,13.794.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-lazzarito-2015/
Rượu Vang Ý Vietti Barolo Lazzarito 2019,13.068.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-lazzarito-2019/
Rượu Vang Ý Vietti Barolo Monvigliero 2019,13.068.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-monvigliero-2019/
Rượu Vang Ý Vietti Barolo Ravera 2012,13.068.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-ravera-2012/
Rượu Vang Ý Vietti Barolo Ravera 2019,13.068.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-ravera-2019/
Rượu Vang Ý Vietti Barolo Rocche di Castiglione 2012,13.794.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-rocche-di-castiglione-2012/
Rượu Vang Ý Vietti Barolo Rocche di Castiglione 2019,13.068.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-barolo-rocche-di-castiglione-2019/
Rượu Vang Ý Vietti Langhe Nebbiolo Perbacco,1.430.000 ₫,Nebbiolo,Vietti,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vietti-langhe-nebbiolo-perbacco/
Rượu vang Ý Vini Franchetti Passorosso 2020,1.809.500 ₫,Nerello Mascalese,Vini Franchetti,Vang Ý (Italy),15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vini-franchetti-passorosso-2020/
Rượu Vang Pháp Château Dauzac 2018,3.388.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-2018/
Rượu vang Ý Castellare Di Castellina Chianti Classico 2021 3L,4.791.600 ₫,Blend,Domini Castellare di Castellina,Vang Ý (Italy),14.5% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/castellare-di-castellina-chianti-classico-2021-3l/
Rượu vang Ý Castellare Di Castellina Chianti Classico,1.375.000 ₫,Blend,Domini Castellare di Castellina,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/castellare-di-castellina-chianti-classico-2022/
Rượu Vang Ý Vigneti Romio Romagna Sangiovese Superiore Riserva,399.300 ₫,Blend,Vigneti Romio,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vigneti-romio-romagna-sangiovese-superiore-riserva/
Rượu vang Ý Le Mortelle Botrosecco,880.000 ₫,Blend,Le Mortelle,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-mortelle-botrosecco/
Rượu Vang Ý Le Volte Dell’Ornellaia,1.661.000 ₫,Blend,Ornellaia,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-volte-dell-ornellaia-2023/
Rượu Vang Ý Vanitá Primitivo di Manduria Vendemmia,665.500 ₫,Primitivo,Fantini,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/vanita-primitivo-di-manduria-vendemmia-2/
Rượu Vang Ý Poggio Alle Nane Maremma 2020,2.266.000 ₫,Blend,Le Mortelle,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-alle-nane-maremma-2020/
Rượu Vang Ý Le Macchiole Messorio 2018,9.982.500 ₫,Merlot,Le Macchiole,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-macchiole-messorio/
Rượu Vang Ý Le Macchiole Messorio 2018 1.5L,24.222.000 ₫,Merlot,Le Macchiole,Vang Ý (Italy),14% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-macchiole-messorio-2018-1500ml/
Rượu Vang Ý Le Macchiole Messorio 2018 3L,72.539.500 ₫,Merlot,Le Macchiole,Vang Ý (Italy),14% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-macchiole-messorio-2018-3l/
Rượu Vang Pháp Domaine Jean Grivot Vosne Romanée 1er Cru Les Rouge 2018,15.246.000 ₫,Pinot Noir,Domaine Jean Grivot,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-jean-grivot-vosne-romanee-1er-cru-les-rouge-2018/
Rượu vang Pháp Crocus La Roche Mère 2018,3.146.000 ₫,Malbec,Crocus Wines,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/crocus-la-roche-mere/
Rượu Vang Argentina Salentein Barrel Selection Cabernet Sauvignon,836.000 ₫,Cabernet Sauvignon,Salentein,Vang Argentina,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-argentina/barrel-selection-cabernet-sauvignon/
Rượu vang Argentina Salentein Barrel Selection Malbec,836.000 ₫,Malbec,Salentein,Vang Argentina,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-argentina/barrel-selection-malbec/
Rượu Vang Argentina Portillo Malbec,495.000 ₫,Malbec,Salentein,Vang Argentina,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-argentina/portillo-malbec/
Rượu vang Argentina Salentein Single Vineyard Malbec,1.650.000 ₫,Malbec,Salentein,Vang Argentina,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-argentina/ruou-vang-argentina-salentein-single-vineyard-malbec-2021/
Rượu vang bịch Tini Merlot BIB,484.000 ₫,Merlot,Tini,Vang Ý (Italy),11.5% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/tini-merlot-bib/
Rượu vang Bồ Đào Nha Altano Douro Red,561.000 ₫,Blend,Altano Douro,Vang Bồ Đào Nha,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-bo-dao-nha/altano-douro-red/
